Player Name,Salary,Position,Age,Team,PTS,Total Minutes,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PER
Kris Dunn,1000001,PG,28,UTA,13.2,568,25.8,0.537,0.472,0.774,4.5,5.6,1.1,0.5,1.6,19.1
Admiral Schofield,877940,PF,25,ORL,4.2,451,12.2,0.451,0.324,0.913,1.7,0.8,0.2,0.1,0.4,10.1
Justin Champagnie,853241,SF,21,BOS/TOR,2.2,34,6.8,0.333,0.2,,1.6,0.8,0.2,0.0,0.0,10.3
Trevelin Queen,838891,SG,25,IND,3.0,70,10.0,0.241,0.133,1.0,2.4,0.9,0.3,0.7,1.0,6.0
Moses Brown,824041,C,23,BRK/LAC,4.3,294,8.2,0.635,,0.458,3.9,0.1,0.1,0.4,0.4,22.2
Matt Ryan,806097,SF,25,LAL/MIN,3.6,310,9.1,0.37,0.381,0.833,0.8,0.5,0.1,0.0,0.2,8.1
PJ Dozier,784654,SF,26,SAC,1.4,79,4.9,0.303,0.125,,0.9,0.6,0.4,0.1,0.3,5.2
Cody Zeller,743922,C,30,MIA,6.5,217,14.5,0.627,0.0,0.686,4.3,0.7,0.2,0.3,0.9,16.4
Meyers Leonard,713558,C,30,MIL,4.8,114,12.7,0.483,0.389,0.889,3.8,0.1,0.2,0.0,0.7,12.0
Anthony Lamb,694878,SF,25,GSW,6.7,1195,19.3,0.471,0.367,0.767,3.5,1.5,0.5,0.3,0.9,10.9
Michael Carter-Williams,652829,PG,31,ORL,4.3,44,11.0,0.429,0.333,0.571,1.3,1.8,0.3,0.3,1.0,9.0
Carlik Jones,612162,PG,25,CHI,2.9,56,8.0,0.4,0.5,0.625,0.7,0.9,0.3,0.0,0.3,11.1
Trevor Keels,520589,SG,19,NYK,1.0,8,2.7,0.25,0.25,,0.7,0.0,0.0,0.0,0.0,3.7
Dereon Seabron,511816,SG,22,NOP,0.8,12,2.4,0.4,,,0.2,0.0,0.0,0.0,0.0,4.6
Trent Forrest,508891,SG,24,ATL,2.3,277,12.0,0.417,0.0,0.667,1.6,1.7,0.3,0.1,0.7,6.1
Mfiondu Kabengele,508891,PF,25,BOS,1.5,36,9.0,0.286,0.0,1.0,2.5,0.0,0.5,0.0,0.3,8.1
JD Davison,508891,SG,20,BOS,1.6,66,5.5,0.421,0.286,0.5,0.8,0.9,0.2,0.2,0.3,10.1
Malcolm Hill,508891,SF,27,CHI,1.0,9,1.8,0.5,0.333,,0.6,0.0,0.0,0.0,0.0,15.4
Mamadi Diakite,508891,C,26,CLE,2.6,176,8.0,0.48,0.333,1.0,1.4,0.4,0.2,0.4,0.5,9.0
Isaiah Mobley,508891,PF,23,CLE,2.6,84,7.0,0.429,0.375,1.0,1.7,0.3,0.3,0.3,0.1,14.1
