Player Name,Salary,Position,Age,Team,PTS,Total Minutes
Jaden Hardy,1017781,SG,20,DAL,8.8,708
Ryan Rollins,1017781,PG,20,GSW,1.9,62
Max Christie,1017781,SG,19,LAL,3.1,512
Josh Minott,1017781,SF,20,MIN,3.1,96
Jabari Walker,1017781,SF,20,POR,3.9,619
Eugene Omoruyi,1013119,SF,25,DET/OKC,7.0,645
Kris Dunn,1000001,PG,28,UTA,13.2,568
Admiral Schofield,877940,PF,25,ORL,4.2,451
Justin Champagnie,853241,SF,21,BOS/TOR,2.2,34
Trevelin Queen,838891,SG,25,IND,3.0,70
Moses Brown,824041,C,23,BRK/LAC,4.3,294
Matt Ryan,806097,SF,25,LAL/MIN,3.6,310
PJ Dozier,784654,SF,26,SAC,1.4,79
Cody Zeller,743922,C,30,MIA,6.5,217
Meyers Leonard,713558,C,30,MIL,4.8,114
Anthony Lamb,694878,SF,25,GSW,6.7,1195
Michael Carter-Williams,652829,PG,31,ORL,4.3,44
Carlik Jones,612162,PG,25,CHI,2.9,56
Trevor Keels,520589,SG,19,NYK,1.0,8
Dereon Seabron,511816,SG,22,NOP,0.8,12
Trent Forrest,508891,SG,24,ATL,2.3,277
Mfiondu Kabengele,508891,PF,25,BOS,1.5,36
JD Davison,508891,SG,20,BOS,1.6,66
Malcolm Hill,508891,SF,27,CHI,1.0,9
Mamadi Diakite,508891,C,26,CLE,2.6,176
Isaiah Mobley,508891,PF,23,CLE,2.6,84
Jack White,508891,SF,25,DEN,1.2,66
Buddy Boeheim,508891,SF,23,DET,1.6,90
Darius Days,508891,SF,23,HOU,3.8,25
Trevor Hudgins,508891,PG,23,HOU,1.8,28
Kendall Brown,508891,SG,19,IND,1.5,40
Cole Swider,508891,SF,23,LAL,1.3,41
Jamal Cain,508891,PF,23,MIA,5.4,240
Luka Garza,508891,C,24,MIN,6.5,243
Kevon Harris,508891,SG,25,ORL,4.1,457
Keon Ellis,508891,SG,23,SAC,1.5,71
Neemias Queta,508891,C,23,SAC,2.4,29
Dominick Barlow,508891,PF,19,SAS,3.9,408
Julian Champagnie,508891,SF,21,SAS/PHI,9.7,320
Jeff Dowtin,508891,PG,25,TOR,2.4,259
Micah Potter,508891,PF,24,UTA,3.4,52
Johnny Juzang,508891,SG,21,UTA,4.8,232
John Butler,503041,C,20,POR,2.4,221
Chima Moneke,500000,SF,27,SAC,1.0,8
Facundo Campazzo,464299,PG,31,DAL,1.3,52
Orlando Robinson,386055,C,22,MIA,3.7,425
Dru Smith,374357,SG,25,BRK/MIA,2.9,158
Jared Rhoden,307089,SG,23,DET,3.2,198
Louis King,307089,PF,23,PHI,20.0,29
Jarrett Culver,260295,SF,23,ATL,4.4,137
Olivier Sarr,257371,C,23,OKC,4.0,114
Alondes Williams,254446,SG,23,BRK,0.0,5
Donovan Williams,239822,SG,21,ATL,2.0,4
Quenton Jackson,219630,PG,24,WAS,6.2,135
Chris Silva,211045,PF,26,DAL,2.0,3
Tyler Dorsey,201802,SF,26,DAL,3.0,8
Braxton Key,201802,SF,25,DET,1.3,9
Jordan Hall,193027,SF,21,SAS,3.1,83
Alize Johnson,192293,PF,26,SAS,1.8,30
Devon Dotson,169630,PG,23,WAS,0.5,53
Mac McClung,160856,SG,24,PHI,12.5,41
Xavier Cooks,140384,PF,27,WAS,3.8,126
Shaquille Harrison,134862,SG,29,POR,8.8,120
Lester Quinones,129405,SG,22,GSW,2.5,18
Xavier Moon,116986,SG,28,LAC,1.8,20
Jamaree Bouyea,116986,PG,23,MIA/WAS,3.0,71
Jay Huff,116986,C,24,WAS,7.3,95
Skylar Mays,116574,PG,25,POR,15.3,189
Frank Jackson,113114,PG,24,UTA,0.0,5
Deonte Burton,105522,PF,29,SAC,0.0,6
Jarrell Brantley,105522,PF,26,UTA,5.5,39
Xavier Sneed,102910,SF,25,CHO,4.3,48
Lindell Wigginton,99438,PG,24,MIL,7.1,87
Jordan Schakel,96514,SF,24,WAS,1.5,6
Stanley Umude,58493,SG,23,DET,2.0,2
Jeenathan Williams,52644,SG,23,POR,10.6,127
Jay Scrubb,49719,SG,22,ORL,6.5,30
Justin Minaya,35096,SF,23,POR,4.3,89
Kobi Simmons,32795,SG,25,CHO,1.0,28
Gabe York,32171,SG,29,IND,8.0,56
RaiQuan Gray,5849,PF,23,BRK,16.0,35
Jacob Gilyard,5849,PG,24,MEM,3.0,41
